trial_id,weight,accuracy,average_precision,...
12041,1.347393508,0.826855601,0.846229299,...
12047,2.219528876,0.816869096,0.859940066,...
12038,0.831533936,0.817139001,0.80898421,...
stacking,0,0.825225131,0.840943885,...
